Track name, Artist name, Album, Playlist name, Type
Avicii - The Nights,,,3/07/21,Playlist track
Eminem - Not Afraid,,,3/07/21,Playlist track
Marshmello & Demi Lovato - OK Not To Be OK (Official Music Video),,,3/07/21,Playlist track
Lil Nas X - Old Town Road,,,3/07/21,Playlist track
Lil Nas X · RM - Old Town Road (feat. RM of BTS) (Seoul Town Road Remix),,,3/07/21,Playlist track
Cartoon · Daniel Levi - On & On,,,3/07/21,Playlist track
Jonas Brothers - Only Human,,,3/07/21,Playlist track
Anne-Marie · Niall Horan - Our Song,,,3/07/21,Playlist track
Maroon 5 · Wiz Khalifa - Payphone,,,3/07/21,Playlist track
Justin Bieber · Daniel Caesar · Giveon - Peaches,,,3/07/21,Playlist track
Melanie Martinez - Play Date,,,3/07/21,Playlist track
Ariana Grande - positions,,,3/07/21,Playlist track
The Weeknd · Kendrick Lamar - Pray For Me,,,3/07/21,Playlist track
Iggy Azalea - Personal Problem (Audio),,,3/07/21,Playlist track
Imagine Dragons · Kendrick Lamar - Radioactive,,,3/07/21,Playlist track
Eminem - Rap God,,,3/07/21,Playlist track
Ed Sheeran · Eminem · 50 Cent - Remember The Name (feat. Eminem & 50 Cent),,,3/07/21,Playlist track
Fort Minor · Styles Of Beyond - Remember the Name (feat. Styles of Beyond),,,3/07/21,Playlist track
Sara Kays - Remember That Night? [Official Music Video],,,3/07/21,Playlist track
Chamillionaire · Krayzie Bone - Ridin',,,3/07/21,Playlist track
Eminem · Ed Sheeran - River,,,3/07/21,Playlist track
Dream · PmBata - Roadtrip,,,3/07/21,Playlist track
Clean Bandit · Sean Paul · Anne-Marie - Rockabye (feat. Sean Paul & Anne-Marie),,,3/07/21,Playlist track
Ayo & Teo - Rolex,,,3/07/21,Playlist track
Jonas Brothers - Rollercoaster,,,3/07/21,Playlist track
Adele - Rolling in the Deep,,,3/07/21,Playlist track
SAINt JHN · Imanbek - Roses (Imanbek Remix),,,3/07/21,Playlist track
Arizona Zervas - ROXANNE,,,3/07/21,Playlist track
Lorde - Royals,,,3/07/21,Playlist track
MAGIC! - Rude,,,3/07/21,Playlist track
XXXTENTACION - SAD!,,,3/07/21,Playlist track
Jawsh 685 · Jason Derulo - Savage Love (Laxed - Siren Beat),,,3/07/21,Playlist track
Swedish House Mafia - Save The World (Extended Mix),,,3/07/21,Playlist track
The Weeknd - Save Your Tears (Official Music Video),,,3/07/21,Playlist track
Alessia Cara - Scars To Your Beautiful,,,3/07/21,Playlist track
Shawn Mendes · Camila Cabello - Señorita,,,3/07/21,Playlist track
The White Stripes - Seven Nation Army,,,3/07/21,Playlist track
Camila Cabello - Shameless,,,3/07/21,Playlist track
Ed Sheeran - Shape of You,,,3/07/21,Playlist track
Ellie Goulding - Sixteen,,,3/07/21,Playlist track
Sabrina Carpenter - Skin,,,3/07/21,Playlist track
Sergius - Sky High (Original Mix),,,3/07/21,Playlist track
Calvin Harris · Frank Ocean · Migos - Slide,,,3/07/21,Playlist track
Joji - SLOW DANCING IN THE DARK,,,3/07/21,Playlist track
"Ellie Goulding - Slow Grenade (Live On ""Good Morning America"", New York / 2020)",,,3/07/21,Playlist track
Juice WRLD · The Weeknd - Smile,,,3/07/21,Playlist track
Martin Garrix · David Guetta · Jamie Scott · Romy Dya - So Far Away,,,3/07/21,Playlist track
Clean Bandit · Demi Lovato - Solo (feat. Demi Lovato),,,3/07/21,Playlist track
Gotye · Kimbra · Wouter De Backer - Somebody That I Used to Know,,,3/07/21,Playlist track
OneRepublic - Somebody To Love,,,3/07/21,Playlist track
Adele - Someone Like You,,,3/07/21,Playlist track
Lewis Capaldi - Someone You Loved,,,3/07/21,Playlist track
The Chainsmokers · Coldplay - Something Just Like This,,,3/07/21,Playlist track
Alan Walker · ISÁK - Sorry,,,3/07/21,Playlist track
Demi Lovato - Sorry Not Sorry,,,3/07/21,Playlist track
Ed Sheeran · Camila Cabello · Cardi B - South of the Border (feat. Camila Cabello & Cardi B) (Andy Jarvis Remix),,,3/07/21,Playlist track
Alan Walker - The Spectre,,,3/07/21,Playlist track
Alan Walker - The Spectre,,,3/07/21,Playlist track
The Weeknd · Daft Punk - Starboy,,,3/07/21,Playlist track
OneRepublic · Logic - Start Again,,,3/07/21,Playlist track
Drake - Started From the Bottom (Explicit),,,3/07/21,Playlist track
Shawn Mendes - Stitches,,,3/07/21,Playlist track
One Direction - Story of My Life,,,3/07/21,Playlist track
twenty one pilots - Stressed Out,,,3/07/21,Playlist track
Liam Payne · Quavo - Strip That Down,,,3/07/21,Playlist track
Kanye West - Stronger,,,3/07/21,Playlist track
Ariana Grande · Justin Bieber - Stuck with U,,,3/07/21,Playlist track
Jonas Brothers - Sucker,,,3/07/21,Playlist track
Sucker For Pain Ft. Wolverine (Logan) /NP-WORLD CREATION,,,3/07/21,Playlist track
Maroon 5 - Sugar,,,3/07/21,Playlist track
Maroon 5 - Sugar,,,3/07/21,Playlist track
ElyOtto - SugarCrash!,,,3/07/21,Playlist track
Post Malone · Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse),,,3/07/21,Playlist track
"Harry Styles - Sunflower, Vol. 6",,,3/07/21,Playlist track
Jason Derulo · Nicki Minaj · Ty Dolla $ign - Swalla (feat. Nicki Minaj & Ty Dolla $ign),,,3/07/21,Playlist track
Ava Max - Sweet but Psycho,,,3/07/21,Playlist track
Katy Perry · Nicki Minaj - Swish Swish,,,3/07/21,Playlist track
Jason Derulo - Take You Dancing [Official Music Video],,,3/07/21,Playlist track
The Chainsmokers · Illenium · Lennon Stella - Takeaway,,,3/07/21,Playlist track
DJ Snake · Selena Gomez · Ozuna · Cardi B - Taki Taki,,,3/07/21,Playlist track
Khalid · Disclosure - Talk,,,3/07/21,Playlist track
Jason Derulo · 2 Chainz - Talk Dirty (feat. 2 Chainz),,,3/07/21,Playlist track
"Ariana Grande - thank u, next",,,3/07/21,Playlist track
NF - THAT'S A JOKE (Audio),,,3/07/21,Playlist track
Bruno Mars - That's What I Like,,,3/07/21,Playlist track
Martin Garrix · Troye Sivan - There for You,,,3/07/21,Playlist track
Billie Eilish - Therefore I Am (Official Music Video),,,3/07/21,Playlist track
Calvin Harris · Rihanna - This Is What You Came For,,,3/07/21,Playlist track
The Lonely Island - Threw It On The Ground,,,3/07/21,Playlist track
Clean Bandit and Mabel - Tick Tock (feat. 24kGoldn) [Official Video],,,3/07/21,Playlist track
ZAYN - Tightrope,,,3/07/21,Playlist track
Eminem · Nate Dogg - Till I Collapse,,,3/07/21,Playlist track
